class,clock,entityId,eventId,eventTime,eventType,options,periodId,personId,playId,sequence,subType,success,timestamp
setup,,,c5a4ad46-eb37-1c36-9e67-ff663f749f3e,2023-08-24T17:00:00,fixture,"{'attendance': 5136, 'numberOfPeriods': 2, 'periodLength': 30}",,,,,post,,2023-08-24T17:00:00
setup,,FIXTURE,a4661bce-05b9-11f5-92a0-b4feba7ad1ed,2023-08-24T17:00:00,role,"{'name': 'Reinhold Cesinger', 'number': 1, 'position': 'TIMEKEEPER'}",,661c1b5f-3954-11ef-b869-bdf3bafad9bd,,,fixture,,2023-08-24T17:00:00
setup,,FIXTURE,20e911d9-6364-1996-ab12-64fbb922f1ca,2023-08-24T17:00:00,role,"{'name': 'Richard Cesinger', 'number': 3, 'position': 'SECRETARY'}",,662188fb-3954-11ef-bbbb-bdf3bafad9bd,,,fixture,,2023-08-24T17:00:00
setup,,FIXTURE,ea407773-3476-103d-9338-fc13ecbf5b79,2023-08-24T17:00:00,role,"{'name': 'Tanja Kuttler', 'number': 2, 'position': 'REFEREE'}",,69d97b49-3954-11ef-9ef5-bdf3bafad9bd,,,fixture,,2023-08-24T17:00:00
setup,,FIXTURE,f010de64-4d9d-1b47-a770-e17374f45b6c,2023-08-24T17:00:00,role,"{'name': 'Maike Merz', 'number': 3, 'position': 'REFEREE'}",,69ce93b1-3954-11ef-96fe-bdf3bafad9bd,,,fixture,,2023-08-24T17:00:00
setup,,FIXTURE,1b8719f7-9d34-1238-a6db-9957b4f9aaf5,2023-08-24T17:00:00,role,"{'name': 'Lars Geipel', 'number': 3, 'position': 'MATCH_SUPERVISOR'}",,698ccb3c-3954-11ef-adf9-bdf3bafad9bd,,,fixture,,2023-08-24T17:00:00
setup,,fe8d1885-3952-11ef-9130-af5c55c3771d,87a13721-8d65-1021-a158-0a547bbcefa9,2023-08-24T17:00:00,person,"{'active': True, 'bib': '27', 'name': 'Antonio Metzner', 'position': 'RB'}",,66f5d7c6-3953-11ef-8f22-2510cc07ea6e,,,,,2023-08-24T17:00:00
setup,,fe8d1885-3952-11ef-9130-af5c55c3771d,5946a8d3-2c7d-1a3b-acfa-cb9043b9546d,2023-08-24T17:00:00,person,"{'active': True, 'bib': '21', 'name': 'Christopher Bissel', 'position': 'LW'}",,458c7c77-3953-11ef-b1d0-855e48b08f9c,,,,,2023-08-24T17:00:00
setup,,fe8d1885-3952-11ef-9130-af5c55c3771d,1e5e11fb-edd6-1d36-933e-3a653ce8d646,2023-08-24T17:00:00,person,"{'active': True, 'bib': '30', 'name': 'Gedeon Guardiola', 'position': 'P'}",,446d1d5e-3953-11ef-9398-855e48b08f9c,,,,,2023-08-24T17:00:00
setup,,fe8d1885-3952-11ef-9130-af5c55c3771d,eb5d2f30-ca73-1f6f-9f7f-2bdbc055b65a,2023-08-24T17:00:00,person,"{'active': True, 'bib': '16', 'name': 'Bertram Obling', 'position': 'G'}",,f759defc-3955-11ef-9e9e-e79bf7b1fa4b,,,,,2023-08-24T17:00:00
setup,,fe8d1885-3952-11ef-9130-af5c55c3771d,59471906-bd3d-1003-826a-ca205e153e8b,2023-08-24T17:00:00,person,"{'active': True, 'bib': '67', 'name': 'Hampus Olsson', 'position': 'RW'}",,e9161b82-3954-11ef-af2c-0119270b4993,,,,,2023-08-24T17:00:00
setup,,fe8d1885-3952-11ef-9130-af5c55c3771d,312da4d2-e2b3-12c8-8006-89e25acf60e0,2023-08-24T17:00:00,person,"{'active': True, 'bib': '28', 'name': 'Jonathan Svensson', 'position': 'LB'}",,0e7ef9b9-3956-11ef-82c8-63392ed267d4,,,,,2023-08-24T17:00:00
setup,,fe8d1885-3952-11ef-9130-af5c55c3771d,289c9ae5-5520-180f-8c39-a66d8550a543,2023-08-24T17:00:00,person,"{'active': True, 'bib': '44', 'name': 'Christoph Steinert', 'position': 'RB'}",,50158fe2-3953-11ef-a039-a9530db97767,,,,,2023-08-24T17:00:00
setup,,fe8d1885-3952-11ef-9130-af5c55c3771d,6a5d3b36-647d-19f3-8ea2-86a495371a00,2023-08-24T17:00:00,person,"{'active': True, 'bib': '3', 'name': 'Mads-Peter Lonborg', 'position': 'RB'}",,0e79d06e-3956-11ef-aadf-63392ed267d4,,,,,2023-08-24T17:00:00
